ID,Market_and_Exchange_Names,Report_Date_as_YYYY_MM_DD,YYYY Report Week WW,CONTRACT_MARKET_NAME,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Commodity Name,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,COMMODITY_NAME,COMMODITY_SUBGROUP_NAME,COMMODITY_GROUP_NAME,FutOnly_or_Combined
220913067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",09/13/2022 12:00:00 AM,2022 Report Week 37,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067 ,CRUDE OIL,439957,70096,56169,91179,265277,278781,426552,426129,13405,13828,439957,70096,56169,91179,265277,278781,426552,426129,13405,13828,0,0,0,0,0,0,0,0,0,0,17548,-3814,-1129,14028,6000,4238,16214,17137,1334,411,100,15.9,12.8,20.7,60.3,63.4,97,96.9,3,3.1,100,15.9,12.8,20.7,60.3,63.4,97,96.9,3,3.1,0,0,0,0,0,0,0,0,0,0,108,16,30,35,52,53,94,95,108,16,30,35,52,53,94,95,0,0,0,0,0,0,0,0,42.3,26.1,53.3,46.2,35.5,22.7,42,35.3,42.3,26.1,53.3,46.2,35.5,22.7,42,35.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220920067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",09/20/2022 12:00:00 AM,2022 Report Week 38,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067 ,CRUDE OIL,424273,65708,54588,86727,260246,270410,412681,411725,11592,12548,424273,65708,54588,86727,260246,270410,412681,411725,11592,12548,0,0,0,0,0,0,0,0,0,0,-15684,-4388,-1581,-4452,-5031,-8371,-13871,-14404,-1813,-1280,100,15.5,12.9,20.4,61.3,63.7,97.3,97,2.7,3,100,15.5,12.9,20.4,61.3,63.7,97.3,97,2.7,3,0,0,0,0,0,0,0,0,0,0,108,16,30,34,51,51,93,93,108,16,30,34,51,51,93,93,0,0,0,0,0,0,0,0,44.5,27.7,54.9,47.4,36.4,23.2,43.7,37,44.5,27.7,54.9,47.4,36.4,23.2,43.7,37,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220927067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",09/27/2022 12:00:00 AM,2022 Report Week 39,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067 ,CRUDE OIL,422690,74669,55258,84862,252606,270343,412137,410463,10553,12227,422690,74669,55258,84862,252606,270343,412137,410463,10553,12227,0,0,0,0,0,0,0,0,0,0,-1583,8961,670,-1865,-7640,-67,-544,-1262,-1039,-321,100,17.7,13.1,20.1,59.8,64,97.5,97.1,2.5,2.9,100,17.7,13.1,20.1,59.8,64,97.5,97.1,2.5,2.9,0,0,0,0,0,0,0,0,0,0,114,18,32,37,53,51,99,97,114,18,32,37,53,51,99,97,0,0,0,0,0,0,0,0,46.6,28.2,56.6,47.7,36.8,23,44.4,38.2,46.6,28.2,56.6,47.7,36.8,23,44.4,38.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220906067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",09/06/2022 12:00:00 AM,2022 Report Week 36,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,422409,73910,57298,77151,259277,274543,410338,408992,12071,13417,422409,73910,57298,77151,259277,274543,410338,408992,12071,13417,0,0,0,0,0,0,0,0,0,0,1139,1531,-5233,6305,-5486,45,2350,1117,-1211,22,100,17.5,13.6,18.3,61.4,65,97.1,96.8,2.9,3.2,100,17.5,13.6,18.3,61.4,65,97.1,96.8,2.9,3.2,0,0,0,0,0,0,0,0,0,0,108,17,29,35,51,52,92,95,108,17,29,35,51,52,92,95,0,0,0,0,0,0,0,0,41,27.6,53.4,45.4,35.3,24.6,42.4,35.5,41,27.6,53.4,45.4,35.3,24.6,42.4,35.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220830067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",08/30/2022 12:00:00 AM,2022 Report Week 35,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,421270,72379,62531,70846,264763,274498,407988,407875,13282,13395,421270,72379,62531,70846,264763,274498,407988,407875,13282,13395,0,0,0,0,0,0,0,0,0,0,-1942,4320,471,-10426,3536,7357,-2570,-2598,628,656,100,17.2,14.8,16.8,62.8,65.2,96.8,96.8,3.2,3.2,100,17.2,14.8,16.8,62.8,65.2,96.8,96.8,3.2,3.2,0,0,0,0,0,0,0,0,0,0,106,16,29,34,51,51,92,92,106,16,29,34,51,51,92,92,0,0,0,0,0,0,0,0,41.6,28.2,53.8,46.1,36,24.9,42.5,36,41.6,28.2,53.8,46.1,36,24.9,42.5,36,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220823067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",08/23/2022 12:00:00 AM,2022 Report Week 34,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,423212,68059,62060,81272,261227,267141,410558,410473,12654,12739,423212,68059,62060,81272,261227,267141,410558,410473,12654,12739,0,0,0,0,0,0,0,0,0,0,-16444,-4491,-1650,-4901,-6522,-8746,-15914,-15297,-530,-1147,100,16.1,14.7,19.2,61.7,63.1,97,97,3,3,100,16.1,14.7,19.2,61.7,63.1,97,97,3,3,0,0,0,0,0,0,0,0,0,0,106,14,31,35,50,48,90,91,106,14,31,35,50,48,90,91,0,0,0,0,0,0,0,0,41.8,27.9,54.7,45.9,36.4,24.8,43.8,35.4,41.8,27.9,54.7,45.9,36.4,24.8,43.8,35.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220816067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",08/16/2022 12:00:00 AM,2022 Report Week 33,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,439656,72550,63710,86173,267749,275887,426472,425770,13184,13886,439656,72550,63710,86173,267749,275887,426472,425770,13184,13886,0,0,0,0,0,0,0,0,0,0,-1409,-4460,7336,-7412,10466,-2254,-1406,-2330,-3,921,100,16.5,14.5,19.6,60.9,62.8,97,96.8,3,3.2,100,16.5,14.5,19.6,60.9,62.8,97,96.8,3,3.2,0,0,0,0,0,0,0,0,0,0,108,17,31,35,51,47,94,89,108,17,31,35,51,47,94,89,0,0,0,0,0,0,0,0,40.6,26.4,52.5,44.3,35.5,23.2,41.9,34.4,40.6,26.4,52.5,44.3,35.5,23.2,41.9,34.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220809067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",08/09/2022 12:00:00 AM,2022 Report Week 32,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,441065,77010,56374,93585,257283,278141,427878,428100,13187,12965,441065,77010,56374,93585,257283,278141,427878,428100,13187,12965,0,0,0,0,0,0,0,0,0,0,-8130,12978,-8387,-4817,-16327,4469,-8166,-8735,36,605,100,17.5,12.8,21.2,58.3,63.1,97,97.1,3,2.9,100,17.5,12.8,21.2,58.3,63.1,97,97.1,3,2.9,0,0,0,0,0,0,0,0,0,0,106,17,32,40,51,44,98,89,106,17,32,40,51,44,98,89,0,0,0,0,0,0,0,0,40.2,25.6,51.5,42.8,35.1,22.3,40.4,32.6,40.2,25.6,51.5,42.8,35.1,22.3,40.4,32.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220802067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",08/02/2022 12:00:00 AM,2022 Report Week 31,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,449195,64032,64761,98402,273610,273672,436044,436835,13151,12360,449195,64032,64761,98402,273610,273672,436044,436835,13151,12360,0,0,0,0,0,0,0,0,0,0,-3178,3015,1408,1922,-6508,-6631,-1571,-3301,-1607,123,100,14.3,14.4,21.9,60.9,60.9,97.1,97.2,2.9,2.8,100,14.3,14.4,21.9,60.9,60.9,97.1,97.2,2.9,2.8,0,0,0,0,0,0,0,0,0,0,109,16,31,41,52,50,100,95,109,16,31,41,52,50,100,95,0,0,0,0,0,0,0,0,40.2,25.9,52.6,42.1,33.9,21.9,40,32,40.2,25.9,52.6,42.1,33.9,21.9,40,32,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
220726067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",07/26/2022 12:00:00 AM,2022 Report Week 30,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,452373,61017,63353,96480,280118,280303,437615,440136,14758,12237,452373,61017,63353,96480,280118,280303,437615,440136,14758,12237,0,0,0,0,0,0,0,0,0,0,-7675,-8443,1177,-8362,8007,-999,-8798,-8184,1123,509,100,13.5,14,21.3,61.9,62,96.7,97.3,3.3,2.7,100,13.5,14,21.3,61.9,62,96.7,97.3,3.3,2.7,0,0,0,0,0,0,0,0,0,0,104,15,33,38,50,48,93,93,104,15,33,38,50,48,93,93,0,0,0,0,0,0,0,0,40.3,27.2,51.7,42.6,33.1,22.7,39.2,32.6,40.3,27.2,51.7,42.6,33.1,22.7,39.2,32.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
