Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,OI,Bid,Ask
25-Oct-2024,72.57,+3.35,+4.84%,69.46,69.00,72.66,"99,850","22,842.00",72.54,72.56
18-Oct-2024,69.22,-6.34,-8.39%,75.05,68.69,75.08,"1,108,559","60,833.00",69.25,69.64
11-Oct-2024,75.56,+1.18,+1.59%,74.40,71.53,78.46,"1,953,692","169,437.00",75.40,75.54
04-Oct-2024,74.38,+6.20,+9.09%,68.63,66.33,75.57,"2,336,925","265,679.00",74.44,74.47
27-Sep-2024,68.18,-3.74,-5.20%,71.31,66.95,72.40,"1,952,222","329,816.00",68.63,68.64
20-Sep-2024,71.92,+3.27,+4.76%,69.16,68.65,72.49,"780,231",786.00,71.38,72.44
13-Sep-2024,68.65,+0.98,+1.45%,68.13,65.27,70.32,"1,796,863","168,202.00",69.22,69.25
06-Sep-2024,67.67,-5.88,-7.99%,73.53,67.17,74.41,"1,785,312","249,665.00",68.16,68.18
30-Aug-2024,73.55,-1.28,-1.71%,75.10,73.36,77.60,"1,913,618","271,331.00",73.64,73.67
23-Aug-2024,74.83,-1.82,-2.37%,76.58,71.46,76.87,"1,182,380","345,594.00",74.96,74.98
16-Aug-2024,76.65,-0.19,-0.25%,76.99,75.54,80.16,"1,401,078","65,315.00",76.35,76.62
09-Aug-2024,76.84,+3.32,+4.52%,74.21,71.67,77.09,"1,870,704","210,263.00",76.90,77.20
02-Aug-2024,73.52,-3.64,-4.72%,77.30,72.97,78.88,"2,093,228","326,391.00",74.03,74.25
26-Jul-2024,77.16,-2.97,-3.71%,80.39,76.04,80.69,"1,623,656","378,947.00",76.43,76.45
19-Jul-2024,80.13,-2.08,-2.53%,82.16,80.07,83.82,"1,041,642","21,402.00",79.92,80.39
12-Jul-2024,82.21,-0.95,-1.14%,83.15,80.81,83.74,"1,577,711","185,720.00",82.19,82.20
05-Jul-2024,83.16,+1.62,+1.99%,81.45,81.38,84.52,"1,364,609","266,354.00",83.44,83.46
28-Jun-2024,81.54,+0.81,+1.00%,80.45,80.18,82.72,"1,432,787","324,086.00",81.45,81.48
21-Jun-2024,80.73,+2.28,+2.91%,78.48,77.98,82.41,"581,210","340,335.00",80.56,80.61
14-Jun-2024,78.45,+2.92,+3.87%,75.35,75.23,79.32,"1,507,655","95,233.00",78.46,78.51
07-Jun-2024,75.53,-1.46,-1.90%,76.97,72.48,77.52,"1,731,028","269,326.00",75.35,75.38
31-May-2024,76.99,-0.73,-0.94%,77.81,76.67,80.62,"1,312,567","361,691.00",77.07,77.40
24-May-2024,77.72,-2.34,-2.92%,80.01,76.15,80.60,"1,062,744","403,143.00",77.77,77.83
17-May-2024,80.06,+1.80,+2.30%,78.18,76.70,80.14,"1,240,807","64,368.00",79.75,80.00
10-May-2024,78.26,+0.15,+0.19%,78.16,76.89,79.96,"1,534,292","239,274.00",78.18,78.23
03-May-2024,78.11,-5.74,-6.85%,83.69,77.96,83.91,"1,863,732","347,488.00",77.95,78.01
26-Apr-2024,83.85,+0.71,+0.85%,83.05,80.88,84.46,"1,273,309","398,856.00",83.64,83.70
19-Apr-2024,83.14,-2.52,-2.94%,85.93,81.56,86.28,"1,006,146","23,454.00",82.33,85.90
12-Apr-2024,85.66,-1.25,-1.44%,86.10,84.55,87.67,"1,840,753","157,589.00",85.43,85.48
05-Apr-2024,86.91,+3.74,+4.50%,83.14,82.60,87.63,"1,700,388","275,999.00",86.72,86.78
29-Mar-2024,83.17,+2.54,+3.15%,80.85,80.55,83.21,"1,079,943","348,085.00",83.10,83.16
22-Mar-2024,80.63,-0.41,-0.51%,81.03,80.30,83.85,"685,537","347,082.00",80.78,80.81
15-Mar-2024,81.04,+3.03,+3.88%,77.80,76.79,81.62,"1,438,713","66,311.00",80.98,81.04
08-Mar-2024,78.01,-1.96,-2.45%,80.14,77.52,80.67,"1,935,240","219,811.00",77.82,77.87
01-Mar-2024,79.97,+3.48,+4.55%,76.40,75.84,80.85,"1,555,345","284,231.00",79.79,79.83
23-Feb-2024,76.49,-2.70,-3.41%,78.98,76.32,79.80,"1,042,058","347,505.00",76.56,76.62
16-Feb-2024,79.19,+2.35,+3.06%,76.60,75.54,79.35,"1,118,926","25,634.00",78.93,79.32
09-Feb-2024,76.84,+4.56,+6.31%,72.75,71.41,77.29,"1,637,271","199,432.00",76.55,76.63
02-Feb-2024,72.28,-5.73,-7.35%,78.90,71.79,79.29,"2,069,364","350,720.00",72.28,72.50
26-Jan-2024,78.01,+4.60,+6.27%,73.41,72.89,78.26,"1,344,326","387,799.00",78.21,78.26
19-Jan-2024,73.41,+0.73,+1.00%,72.63,70.50,74.91,"910,996","23,764.00",73.41,75.20
12-Jan-2024,72.68,-1.13,-1.53%,73.51,70.13,75.25,"1,885,747","148,743.00",72.72,72.79
05-Jan-2024,73.81,+2.16,+3.01%,71.71,69.28,74.24,"1,335,845","230,314.00",73.94,73.99
29-Dec-2023,71.65,-1.91,-2.60%,73.56,71.25,76.18,"939,272","279,800.00",71.30,71.35
22-Dec-2023,73.56,+2.13,+2.98%,71.68,70.64,75.37,"847,576","288,837.00",73.47,73.53
15-Dec-2023,71.43,+0.20,+0.28%,71.15,67.71,72.46,"1,277,141","51,630.00",71.20,71.99
08-Dec-2023,71.23,-2.84,-3.83%,74.58,68.80,75.03,"1,825,588","233,343.00",71.24,71.31
01-Dec-2023,74.07,-1.47,-1.95%,75.31,73.93,79.60,"1,816,495","333,756.00",74.36,74.41
24-Nov-2023,75.54,-0.35,-0.46%,75.65,73.79,78.22,"936,354","340,215.00",75.14,75.22
17-Nov-2023,75.89,-1.28,-1.66%,77.15,72.16,79.77,"1,034,855","19,048.00",71.50,75.90
10-Nov-2023,77.17,-3.34,-4.15%,81.13,74.91,82.24,"1,667,495","205,339.00",77.33,77.40
03-Nov-2023,80.51,-5.03,-5.88%,85.00,80.10,85.30,"1,788,930","300,777.00",80.81,80.90
27-Oct-2023,85.54,-3.21,-3.62%,88.00,82.08,88.29,"1,791,119","317,186.00",84.95,85.23
20-Oct-2023,88.75,+1.06,+1.21%,87.72,85.60,90.78,"625,067","8,575.00",88.80,90.88
13-Oct-2023,87.69,+4.90,+5.92%,85.25,82.31,87.83,"1,928,441","130,624.00",87.40,87.75
06-Oct-2023,82.79,-8.00,-8.81%,90.82,81.50,91.88,"2,072,283","240,655.00",82.77,82.82
29-Sep-2023,90.79,+0.76,+0.84%,90.55,88.19,95.03,"1,913,506","329,101.00",90.75,90.78
22-Sep-2023,90.03,-0.74,-0.82%,91.20,88.37,93.74,"1,002,968","364,188.00",90.31,90.35
15-Sep-2023,90.77,+3.26,+3.73%,87.40,86.71,91.23,"1,619,770","86,359.00",91.20,91.24
08-Sep-2023,87.51,+1.96,+2.29%,86.06,85.02,88.08,"1,325,196","269,789.00",87.21,87.25
01-Sep-2023,85.55,+5.72,+7.17%,80.15,79.34,86.06,"1,619,479","299,793.00",86.02,86.06
25-Aug-2023,79.83,-1.42,-1.75%,81.43,77.59,82.47,"1,276,348","327,930.00",79.98,80.08
18-Aug-2023,81.25,-1.94,-2.33%,83.09,78.95,83.20,"1,269,633","64,871.00",81.17,81.73
11-Aug-2023,83.19,+0.37,+0.45%,82.82,79.90,84.89,"1,889,163","209,175.00",83.03,83.10
