Year,Week_Number,Close,Net,Open,Low,High,Bid,Ask,Exchange Date,1_Week_Long_Return,Price Score,Bullish_Bearish_Score,Delta_Score,Absolute Storage Score,Delta Inventory Score,1_Week_Short_Return,2_Week_Long_Return,2_Week_Short_Return,3_Week_Long_Return,3_Week_Short_Return,4_Week_Long_Return,4_Week_Short_Return,8_Week_Long_Return,8_Week_Short_Return,12_Week_Long_Return,12_Week_Short_Return,24_Week_Long_Return,24_Week_Short_Return,Total_Score
2024,43,72.57,3.35,69.46,69.0,72.66,72.54,72.56,2024-10-21,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0
2024,42,69.22,-6.34,75.05,68.69,75.08,69.25,69.64,2024-10-14,4.839641722045643,0.5,1.0,-1.0,1.0,-1.0,-4.616232603003989,,,,,,,,,,,,,0.5
2024,41,75.56,1.18,74.4,71.53,78.46,75.4,75.54,2024-10-07,-8.390682901005828,0.0,1.0,1.0,1.0,1.0,9.15920254261775,-3.9571201694018123,4.120159845666271,,,,,,,,,,,4.0
2024,40,74.38,6.2,68.63,66.33,75.57,74.44,74.47,2024-09-30,1.586447969884387,0.0,1.0,1.0,1.0,1.0,-1.5616728427739646,-6.937348749663884,7.454492921121059,-2.433449852110786,2.494143585503661,,,,,,,,,4.0
2024,39,68.18,-3.74,71.31,66.95,72.4,68.63,68.64,2024-09-23,9.093575828688747,0.5,-1.0,-1.0,1.0,-1.0,-8.335574079053497,10.824288647697264,-9.76707252514557,1.5253740099735875,-1.5024559375902857,6.438838369023153,-6.049331679757453,,,,,,,-1.5
2024,38,71.92,3.27,69.16,68.65,72.49,71.38,72.44,2024-09-16,-5.200222469410449,0.0,1.0,-1.0,1.0,1.0,5.485479612789668,3.420467185761949,-3.3073406829792873,5.061179087875418,-4.817363684489151,-3.7541713014460547,3.900606761051728,,,,,,,2.0
2024,37,68.65,0.98,68.13,65.27,70.32,69.22,69.25,2024-09-09,4.763292061179892,0.5,1.0,-1.0,-1.0,1.0,-4.546718576195763,-0.6846321922796778,0.6893517160457607,8.346686088856503,-7.703683785963955,10.065549890750177,-9.14505029115934,,,,,,,0.5
2024,36,67.67,-5.88,73.53,67.17,74.41,68.16,68.18,2024-09-02,1.4482045219447377,1.0,1.0,1.0,-1.0,-1.0,-1.427530954115086,6.280478794148071,-5.909343715239157,0.7536574552977762,-0.7480199471985971,9.915767696172594,-9.021242269427255,,,,,,,1.0
2024,35,73.55,-1.28,75.1,73.36,77.6,73.64,73.67,2024-08-26,-7.994561522773617,0.0,1.0,1.0,1.0,1.0,8.689227131668375,-6.662134602311341,7.137654770575375,-2.2161794697484645,2.26640711902113,-7.301155676410592,7.8762100322675055,-1.3324269204622758,1.3504202838638513,,,,,4.0
2024,34,74.83,-1.82,76.58,71.46,76.87,74.96,74.98,2024-08-19,-1.7105438995055475,0.0,1.0,1.0,-1.0,-1.0,1.7403127124405282,-9.568354937859143,10.580759568494159,-8.258719764800205,9.00218499635832,-3.888814646532135,4.0461624026696175,-7.496993184551649,8.10459404796302,,,,,0.0
