Report_Date,Year,Week_Number,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Normalized_NonComm_Positions,Long_Position_Ratio,Short_Position_Ratio,Bullish_Bearish_Score,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Delta_Score
2024-10-15,2024,42,627956.0,65908.0,96152.0,0.25807540655714734,0.10495639821898349,0.15311900833816383,1,-9856.0,2700.0,-2958.0,-1
2024-10-08,2024,41,637812.0,63208.0,99110.0,0.2544919192489323,0.09910130257818918,0.1553906166707431,1,20411.0,3332.0,14858.0,1
2024-10-01,2024,40,617401.0,59876.0,84252.0,0.23344309452041703,0.09698073051387995,0.13646236400653708,1,10025.0,-17442.0,20468.0,1
2024-09-24,2024,39,607376.0,77318.0,63784.0,0.23231408550881166,0.12729841152762045,0.10501567398119123,-1,6376.0,11801.0,-4804.0,-1
2024-09-17,2024,38,601000.0,65517.0,68588.0,0.22313643926788684,0.10901331114808652,0.11412312811980033,1,3597.0,7321.0,-9785.0,-1
2024-09-10,2024,37,597403.0,58196.0,78373.0,0.22860447637524417,0.09741497782903669,0.1311894985462075,1,-3091.0,2820.0,2584.0,-1
2024-09-03,2024,36,600494.0,55376.0,75789.0,0.2184284938733776,0.09221740766768693,0.12621108620569066,1,-2574.0,-18.0,10133.0,1
2024-08-27,2024,35,603068.0,55394.0,65656.0,0.2007236331557967,0.09185365497754813,0.10886997817824856,1,-3528.0,-2105.0,5953.0,1
2024-08-20,2024,34,606596.0,57499.0,59703.0,0.19321261597504763,0.09478961285600301,0.09842300311904463,1,-45852.0,-10362.0,-105.0,1
2024-08-13,2024,33,652448.0,67861.0,59808.0,0.19567689685614792,0.10400982147236255,0.09166707538378538,-1,17729.0,8289.0,-13494.0,-1
2024-08-06,2024,32,634719.0,59572.0,73302.0,0.20934303211342342,0.0938557062259047,0.11548732588751873,1,27893.0,-7376.0,8011.0,1
2024-07-30,2024,31,606826.0,66948.0,65291.0,0.2179191399181973,0.11032487072076674,0.10759426919743056,-1,-1095.0,-6290.0,2796.0,1
2024-07-23,2024,30,607921.0,73238.0,62495.0,0.22327407673036465,0.12047289039200818,0.10280118633835647,-1,-16739.0,-6508.0,12096.0,1
2024-07-16,2024,29,624660.0,79746.0,50399.0,0.2083453398648865,0.127663048698492,0.08068229116639451,-1,-10979.0,12008.0,-1187.0,-1
2024-07-09,2024,28,635639.0,67738.0,51586.0,0.1877229056115185,0.10656677768355938,0.0811561279279591,-1,22394.0,1559.0,156.0,-1
2024-07-02,2024,27,613245.0,66179.0,51430.0,0.1917814250421936,0.10791608574060937,0.0838653393015842,-1,-16016.0,-22336.0,-4706.0,1
2024-06-25,2024,26,629261.0,88515.0,56136.0,0.229874408234421,0.14066500228045278,0.08920940595396823,-1,15249.0,13316.0,-9892.0,-1
2024-06-18,2024,25,614012.0,75199.0,66028.0,0.23000690540250027,0.12247154778733967,0.10753535761516061,-1,-20571.0,-9971.0,-1121.0,1
2024-06-11,2024,24,634583.0,85170.0,67149.0,0.240030066988873,0.13421412171457478,0.10581594527429825,-1,103902.0,6719.0,2555.0,-1
2024-06-04,2024,23,530681.0,78451.0,64594.0,0.26954988024820936,0.14783080607747404,0.12171907417073534,-1,656.0,-26379.0,269.0,1
2024-05-28,2024,22,530025.0,104830.0,64325.0,0.319145323333805,0.1977831234375737,0.12136219989623132,-1,-2568.0,1943.0,-2564.0,-1
2024-05-21,2024,21,532593.0,102887.0,66889.0,0.3187724960711087,0.19318128477092264,0.12559121130018608,-1,-32671.0,8247.0,2743.0,-1
2024-05-14,2024,20,565264.0,94640.0,64146.0,0.2809059129893289,0.16742619377848228,0.11347971921084661,-1,-10598.0,12767.0,-19152.0,-1
2024-05-07,2024,19,575862.0,81873.0,83298.0,0.2868239265657397,0.14217468768559133,0.14464923888014836,1,8199.0,4732.0,390.0,-1
2024-04-30,2024,18,567663.0,77141.0,82908.0,0.2819436884207708,0.1358922459276014,0.14605144249316937,1,6594.0,-1435.0,17940.0,1
2024-04-23,2024,17,561069.0,78576.0,64968.0,0.25584019077867426,0.14004694609753882,0.11579324468113547,-1,-32092.0,3180.0,-778.0,-1
2024-04-16,2024,16,593161.0,75396.0,65746.0,0.2379488874015655,0.12710882880027513,0.11084005860129037,-1,21266.0,-12856.0,13321.0,1
2024-04-09,2024,15,571895.0,88252.0,52425.0,0.24598396558808872,0.1543150403483157,0.09166892523977303,-1,3729.0,3243.0,-5558.0,-1
2024-04-02,2024,14,568166.0,85009.0,57983.0,0.2516729265742758,0.1496200054209509,0.10205292115332491,-1,-1568.0,-5220.0,12210.0,1
2024-03-26,2024,13,569734.0,90229.0,45773.0,0.2387113986527046,0.15837039741352982,0.08034100123917477,-1,-8362.0,-11971.0,2879.0,1
2024-03-19,2024,12,578096.0,102200.0,42894.0,0.2509859954056074,0.17678724640890095,0.07419874899670643,-1,-8158.0,5547.0,-5054.0,-1
2024-03-12,2024,11,586254.0,96653.0,47948.0,0.24665247486584313,0.1648653996390643,0.08178707522677883,-1,13401.0,-6364.0,-694.0,1
2024-03-05,2024,10,572853.0,103017.0,48642.0,0.2647433111112275,0.17983147509046823,0.08491183602075925,-1,19374.0,-333.0,-4955.0,-1
2024-02-27,2024,9,553479.0,103350.0,53597.0,0.28356450741581885,0.18672795173800633,0.09683655567781253,-1,7891.0,10868.0,6973.0,-1
2024-02-20,2024,8,545588.0,92482.0,46624.0,0.2549652851602308,0.16950886016554617,0.08545642499468463,-1,-67477.0,360.0,-6995.0,-1
2024-02-13,2024,7,613065.0,92122.0,53619.0,0.2377252004273609,0.15026465382952867,0.0874605465978322,-1,-6890.0,4923.0,-3569.0,-1
